train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_press.keys,date,frameRate,expName,session,participant,
0,0,0,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
1,0,1,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
2,0,2,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
3,0,3,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
4,0,4,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
5,0,5,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
6,0,6,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
7,0,7,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
8,0,8,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
9,0,9,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
10,0,10,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
11,0,11,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
12,0,12,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
13,0,13,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
14,0,14,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
15,0,15,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
16,0,16,0,None,2018_Sep_24_1329,60.0638350556,finger_tap,001,321,
