,RT,condition
0,6.50257510001,practice
1,0.467509099995,practice
2,0.65192969999,practice
3,1.4003011,practice
4,0.535583000004,practice
5,0.386903400009,PRESS
6,0.215819600009,PRESS
7,0.168832700001,PRESS
8,54.4035248,PRESS
9,0.368653900005,PRESS
10,0.234337100002,PRESS
11,0.167737899988,PRESS
12,84.3049089,PRESS
13,0.400783999998,PRESS
14,0.285213700001,PRESS
15,0.217942399991,PRESS
16,0.201675499993,PRESS
17,0.181175300007,PRESS
18,0.169108400005,PRESS
19,0.183917799994,PRESS
20,0.185293799994,PRESS
21,0.202430200006,PRESS
22,0.171410199997,PRESS
23,0.167125299995,PRESS
24,1.6022314,PRESS
25,0.217224100008,PRESS
26,0.201968599999,PRESS
27,0.1999851,PRESS
28,0.217250900008,PRESS
29,0.200453600002,PRESS
30,0.3884235,PRESS
31,0.219856900003,PRESS
32,1.897807,PRESS
33,4.03687540001,PRESS
34,0.667527400001,PRESS
35,0.500850199998,PRESS
