train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
1,0,1,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
2,0,2,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
3,0,3,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
4,0,4,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
5,0,5,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
6,0,6,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
7,0,7,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
8,0,8,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
9,0,9,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
10,0,10,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
11,0,11,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
12,0,12,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
13,0,13,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
14,0,14,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
15,0,15,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
16,0,16,0,2018_Oct_10_1701,59.9265193006,finger_tap,001,col2,
